Date,Open,High,Low,Close,Adj Close,Volume
12/9/22,34.25,35.139999,34.040001,34.84,34.456593,893200
12/12/22,34.959999,34.959999,34.279999,34.48,34.100555,1021400
12/13/22,35.259998,35.259998,34.139999,34.580002,34.199455,1404800
12/14/22,34.389999,35.139999,34.389999,34.59,34.209347,812600
12/15/22,34.189999,34.240002,33.389999,33.459999,33.091782,1313100
12/16/22,33,33,31.459999,32.43,32.073116,2259300
12/19/22,32.490002,32.700001,31.790001,32.049999,31.697296,1379600
12/20/22,31.940001,32.52,31.67,32.32,31.964325,964200
12/21/22,32.529999,32.970001,32.299999,32.43,32.073116,1092800
12/22/22,32.16,32.779999,31.84,32.650002,32.290695,738600
12/23/22,32.82,33.209999,32.720001,33.040001,32.676403,615600
12/27/22,33,33,32.43,32.48,32.122562,580500
12/28/22,32.470001,32.490002,31.9,32.060001,31.707188,855400
12/29/22,32.299999,32.68,32.240002,32.529999,32.172009,551500
12/30/22,32.279999,32.540001,32,32.459999,32.102783,864100
1/3/23,32.709999,33.080002,32.48,33.049999,32.777168,1010700
1/4/23,33.169998,33.580002,32.830002,33.5,33.223457,938300
1/5/23,33.380001,33.720001,32.959999,33.610001,33.33255,619600
1/6/23,33.990002,34.130001,33.709999,33.799999,33.520981,568100
1/9/23,33.959999,34.34,33.779999,33.830002,33.550735,672000
1/10/23,33.66,34.52,33.650002,34.48,34.195366,620600
1/11/23,34.59,34.799999,34.119999,34.549999,34.264786,1073900
1/12/23,34.560001,34.560001,34.009998,34.119999,33.838337,519100
1/13/23,33.900002,34.259998,33.82,34.099998,33.818501,959500
1/17/23,33.990002,34.310001,33.759998,34.09,33.808586,813100
1/18/23,34.23,34.700001,33.66,33.799999,33.520981,756500
1/19/23,33.66,33.709999,32.759998,32.810001,32.53915,795100
1/20/23,33.02,33.619999,32.830002,33.509998,33.233372,668100
1/23/23,33.580002,34.439999,33.41,34.330002,34.046608,978700
1/24/23,34.459999,34.73,34.119999,34.330002,34.046608,770800
1/25/23,34.200001,34.560001,34.060001,34.43,34.145779,801500
1/26/23,34.560001,35.150002,34.52,34.610001,34.324295,623600
1/27/23,34.52,34.82,34.130001,34.66,34.373878,567800
1/30/23,34.5,34.869999,34.41,34.41,34.125946,777700
1/31/23,34.439999,34.889999,34.439999,34.84,34.552395,800400
2/1/23,34.75,35.779999,34.720001,35.650002,35.355709,779500
2/2/23,35.939999,36.830002,35.849998,36.720001,36.416878,1246500
2/3/23,36.299999,37.139999,36.169998,36.66,36.357372,1134500
