Date,Open,High,Low,Close,Adj Close,Volume
4/20/23,184.839996,186.039993,184.199997,185.330002,181.37558,3868200
4/21/23,185.990005,186.380005,185.130005,185.410004,181.453873,3781800
4/24/23,186.5,186.570007,185.020004,185.5,181.541962,3540200
4/25/23,186.559998,190.179993,186.240005,189.710007,185.66214,6231600
4/26/23,188.479996,189.419998,187.869995,188.539993,184.51709,4481700
4/27/23,188.179993,189.949997,187.509995,189.690002,185.642548,4574500
4/28/23,189.899994,191.619995,189.639999,190.889999,186.816956,4607500
5/1/23,190.449997,192.330002,190.279999,191.679993,187.590088,3137800
5/2/23,191.360001,192.5,189.75,192.25,188.147919,3712200
5/3/23,192.580002,193.25,191.779999,192.179993,188.079407,3389600
5/4/23,193.080002,193.949997,192.160004,193.380005,189.253815,4267600
5/5/23,192.820007,194.479996,192.389999,194.270004,190.124817,4146500
5/8/23,193.399994,194,192.649994,193.350006,189.224472,2249900
5/9/23,193.860001,194.669998,192.710007,194.139999,189.997604,3087600
5/10/23,194.110001,195.580002,192.669998,194.270004,190.124817,4352900
5/11/23,194.279999,195.520004,193,195.339996,191.171997,3690200
5/12/23,195.339996,196.220001,194.949997,196.119995,191.935364,2739800
5/15/23,196.570007,196.880005,194,194.270004,190.124817,2946400
5/16/23,194.479996,194.479996,192.539993,193.429993,189.30275,5803100
5/17/23,193.309998,193.589996,190.839996,192.059998,187.961975,4878800
5/18/23,191.320007,191.710007,190.410004,191.559998,187.472656,3709400
5/19/23,192.460007,192.860001,191.100006,191.839996,187.746674,3883000
5/22/23,191.190002,191.389999,186.410004,186.639999,182.657639,5787000
5/23/23,186.490005,186.630005,184.589996,186.070007,182.099792,6382300
5/24/23,186.270004,186.740005,184.369995,184.889999,180.944977,3721000
5/25/23,182.699997,184.220001,181.949997,183.800003,179.87822,4712700
5/26/23,183.710007,184.25,182.399994,183.580002,179.662933,4449300
5/30/23,182.059998,183.089996,180.699997,181.610001,177.73497,4331800
5/31/23,182.860001,184.619995,181.460007,182.350006,178.459167,20414600
6/1/23,182.419998,182.690002,180.800003,182.190002,179.548141,5277400
6/2/23,182.020004,184.289993,181.699997,184.059998,181.391022,4288300
6/5/23,183.850006,186.169998,183.610001,184.190002,181.519135,4311700
6/6/23,184.979996,185.119995,180.429993,181.559998,178.927277,3975600
6/7/23,180.710007,181.740005,179.699997,180.110001,177.498306,5162700
6/8/23,179.699997,182.300003,179.330002,182.100006,179.459457,4036100
6/9/23,181.710007,182.830002,181,182.350006,179.705826,3200100
6/12/23,182.490005,182.729996,180.690002,181.899994,179.262344,4207100
6/13/23,182.130005,182.190002,181.080002,181.539993,178.907562,2838700
6/14/23,182,183.649994,181.440002,183.169998,180.513931,3559300
6/15/23,184.259995,186.169998,183.520004,185.710007,183.017105,4326100
6/16/23,186.139999,187.589996,185.699997,186.039993,183.3423,8925100
6/20/23,186.539993,187.869995,185.240005,185.309998,182.62291,4154800
6/21/23,185.720001,186.880005,184.190002,185.429993,182.741165,3832400
6/22/23,186.729996,187.580002,185.869995,187.350006,184.633331,3185800
6/23/23,188,188,185.949997,186.070007,183.371887,7592600
6/26/23,186.160004,186.429993,184.119995,184.889999,182.209,3706100
6/27/23,184.669998,186.610001,183.960007,186.220001,183.519714,5763000
6/28/23,186.25,186.740005,183.380005,183.699997,181.036255,5193900
6/29/23,183.25,183.889999,181.389999,183.880005,181.213638,5770400
6/30/23,184.039993,185.520004,183.880005,185.220001,182.53421,7635100
7/3/23,184.300003,185.639999,183.470001,185.600006,182.908707,2389000
7/5/23,185,186.690002,184.970001,186.580002,183.874481,5277100
7/6/23,185.809998,186.75,184.889999,186.600006,183.894196,5592100
7/7/23,185.820007,185.880005,183.029999,183.080002,180.425247,6309900
7/10/23,184.070007,185.910004,183.779999,184.300003,181.627548,5508800
